

You reached the start of the range
Sep 26, 2025, 2:28 PM
{"message":"    at Readable.push (node:internal/streams/readable:392:5)","attributes":{"level":"error"},"timestamp":"2025-09-26T18:34:23.478164110Z"}
{"message":"    at Pipe.onStreamRead (node:internal/stream_base_commons:189:23)","attributes":{"level":"error"},"timestamp":"2025-09-26T18:34:23.478169864Z"}
{"message":"","attributes":{"level":"error"},"timestamp":"2025-09-26T18:34:23.478173958Z"}
{"message":"Node.js v22.11.0","attributes":{"level":"error"},"timestamp":"2025-09-26T18:34:23.478177799Z"}
{"message":"🚀 ===== Iniciando despliegue AIPI en Railway ======","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.478181438Z"}
{"message":"🔍 Verificando variables de entorno...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.478184966Z"}
{"message":"✅ Variables verificadas: NODE_ENV=production, PORT=5000","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.478188502Z"}
{"message":"🔌 Verificando conexión a PostgreSQL...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.478192261Z"}
{"message":"✅ Conexión a base de datos exitosa","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.478195996Z"}
{"message":"📊 Ejecutando migraciones de schema con drizzle-kit...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.478199639Z"}
{"message":"npm warn config production Use `--omit=dev` instead.","attributes":{"level":"error"},"timestamp":"2025-09-26T18:34:23.478203081Z"}
{"message":"No config path provided, using default 'drizzle.config.ts'","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.478208184Z"}
{"message":"Reading config file '/app/drizzle.config.ts'","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.478213407Z"}
{"message":"Using 'pg' driver for database querying","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.478217007Z"}
{"message":"[⣷] Pulling schema from database...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.478220619Z"}
{"message":"\u001b[2K\u001b[1G[⣯] Pulling schema from database...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.478225016Z"}
{"message":"\u001b[2K\u001b[1G[⣟] Pulling schema from database...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.478230651Z"}
{"message":"\u001b[2K\u001b[1G[⡿] Pulling schema from database...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.478235105Z"}
{"message":"\u001b[2K\u001b[1G[⢿] Pulling schema from database...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.478239761Z"}
{"message":"\u001b[2K\u001b[1G[⣻] Pulling schema from database...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.478245480Z"}
{"message":"\u001b[2K\u001b[1G[⣽] Pulling schema from database...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.480086461Z"}
{"message":"\u001b[2K\u001b[1G[✓] Pulling schema from database...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.480094240Z"}
{"message":"\u001b[?25l","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.480099178Z"}
{"message":"Is currency column in user_budgets table created or renamed from another column?","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.480104649Z"}
{"message":"❯ + currency                         create column","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.480109073Z"}
{"message":"  ~ billing_cycle_start › currency   rename column","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.480113737Z"}
{"message":"  ~ billing_cycle_end › currency     rename column","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.480118000Z"}
{"message":"  ~ budget_alerts_enabled › currency rename column","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:23.480122562Z"}
{"message":"  ~ alert_threshold › currency       rename column✅ Migraciones de schema completadas","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:29.285866587Z"}
{"message":"🏗️  Configurando datos iniciales de AIPI...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:29.285872958Z"}
{"message":"npm warn config production Use `--omit=dev` instead.","attributes":{"level":"error"},"timestamp":"2025-09-26T18:34:29.392293370Z"}
{"message":"🏗️  Configurando base de datos inicial para Railway...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.265231000Z"}
{"message":"🔌 Conectando a la base de datos Railway PostgreSQL...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.265238407Z"}
{"message":"✅ Conexión a base de datos establecida","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.269218044Z"}
{"message":"👤 Usuario administrador ya existe","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.379209225Z"}
{"message":"👤 Usuario Pablo ya existe","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.379215824Z"}
{"message":"💰 Verificando planes de precios...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.379229462Z"}
{"message":"💰 Planes de precios ya existen","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.383307314Z"}
{"message":"💬 Verificando mensajes de bienvenida...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.383314462Z"}
{"message":"💬 Mensajes de bienvenida ya existen","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.386751489Z"}
{"message":"🎉 Configuración de base de datos completada exitosamente!","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.386756717Z"}
{"message":"📊 Base de datos Railway lista para producción","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.386762290Z"}
{"message":"La base de datos está lista para usar.","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.386767668Z"}
{"message":"✅ Configuración de base de datos completada exitosamente","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.418023282Z"}
{"message":"✅ En Railway - Datos críticos ya configurados en setup-railway-db.js","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.418037253Z"}
{"message":"✅ Usuario Pablo y admin ya creados exitosamente","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.418041641Z"}
{"message":"✅ Saltando migración local - no necesaria en Railway","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.418045620Z"}
{"message":"✅ Migración de datos completada","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.418049780Z"}
{"message":"🌐 Iniciando servidor AIPI en producción...","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.418057508Z"}
{"message":"📡 Puerto: 5000","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.418061657Z"}
{"message":"🗄️ Base de datos: Conectado","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.418065702Z"}
{"message":"🚀 Estado: Producción","attributes":{"level":"info"},"timestamp":"2025-09-26T18:34:30.418069385Z"}
